Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
0.056640625,0,-7,61,54,280789,16458,2627,7221,2333,2637,520,294
0.05859375,0,-38,61,54,280789,16458,2627,7221,2333,2637,520,294
0.060546875,0,-40,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0625,1,-23,61,54,280789,16458,2627,7221,2333,2637,520,294
0.064453125,1,-11,61,54,280789,16458,2627,7221,2333,2637,520,294
0.06640625,1,-5,61,54,280789,16458,2627,7221,2333,2637,520,294
0.068359375,1,-4,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0703125,1,-17,61,54,280789,16458,2627,7221,2333,2637,520,294
0.072265625,1,-52,61,54,280789,16458,2627,7221,2333,2637,520,294
0.07421875,1,-70,61,54,280789,16458,2627,7221,2333,2637,520,294
0.076171875,1,-46,61,54,280789,16458,2627,7221,2333,2637,520,294
0.078125,1,-30,61,54,280789,16458,2627,7221,2333,2637,520,294
0.080078125,1,-50,61,54,280789,16458,2627,7221,2333,2637,520,294
0.08203125,1,-72,61,54,280789,16458,2627,7221,2333,2637,520,294
0.083984375,1,-72,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0859375,1,-60,61,54,280789,16458,2627,7221,2333,2637,520,294
0.087890625,1,-60,61,54,280789,16458,2627,7221,2333,2637,520,294
0.08984375,1,-74,61,54,280789,16458,2627,7221,2333,2637,520,294
0.091796875,1,-76,61,54,280789,16458,2627,7221,2333,2637,520,294
0.09375,1,-58,61,54,280789,16458,2627,7221,2333,2637,520,294
0.095703125,1,-38,61,54,280789,16458,2627,7221,2333,2637,520,294
0.09765625,1,-38,61,54,280789,16458,2627,7221,2333,2637,520,294
0.099609375,1,-61,61,54,280789,16458,2627,7221,2333,2637,520,294
0.1015625,1,-74,61,54,280789,16458,2627,7221,2333,2637,520,294
0.103515625,1,-53,61,54,280789,16458,2627,7221,2333,2637,520,294
0.10546875,1,-21,61,54,280789,16458,2627,7221,2333,2637,520,294
0.107421875,1,-4,61,54,280789,16458,2627,7221,2333,2637,520,294
0.109375,1,-12,61,54,280789,16458,2627,7221,2333,2637,520,294
0.111328125,1,-36,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.11328125,1,-33,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.115234375,1,-8,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1171875,1,11,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.119140625,1,20,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.12109375,1,6,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.123046875,1,-9,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.125,2,-20,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.126953125,2,-40,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.12890625,2,-68,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.130859375,2,-76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1328125,2,-66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.134765625,2,-42,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.13671875,2,-21,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.138671875,2,-26,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.140625,2,-44,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.142578125,2,-44,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.14453125,2,-45,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.146484375,2,-56,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1484375,2,-44,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.150390625,2,-29,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.15234375,2,-10,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.154296875,2,19,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.15625,2,39,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.158203125,2,48,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.16015625,2,42,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.162109375,2,25,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1640625,2,-13,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.166015625,2,-49,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.16796875,2,-52,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.169921875,2,-49,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.171875,2,-56,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.173828125,2,-66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.17578125,2,-84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.177734375,2,-104,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1796875,2,-104,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.181640625,2,-87,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.18359375,2,-70,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.185546875,2,-66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1875,3,-86,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.189453125,3,-103,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.19140625,3,-99,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.193359375,3,-84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.1953125,3,-88,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.197265625,3,-97,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.19921875,3,-84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.201171875,3,-68,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.203125,3,-76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.205078125,3,-117,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.20703125,3,-139,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.208984375,3,-137,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.2109375,3,-131,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.212890625,3,-119,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.21484375,3,-102,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.216796875,3,-84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.21875,3,-83,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.220703125,3,-90,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.22265625,3,-102,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.224609375,3,-109,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.2265625,3,-115,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.228515625,3,-132,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.23046875,3,-156,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.232421875,3,-169,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.234375,3,-147,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.236328125,3,-126,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.23828125,3,-124,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.240234375,3,-139,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.2421875,3,-140,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.244140625,3,-116,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.24609375,3,-90,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.248046875,3,-89,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.25,4,-93,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.251953125,4,-85,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.25390625,4,-61,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.255859375,4,-50,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.2578125,4,-37,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.259765625,4,-19,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.26171875,4,0,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.263671875,4,-2,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.265625,4,-28,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.267578125,4,-58,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.26953125,4,-72,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.271484375,4,-85,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.2734375,4,-83,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.275390625,4,-69,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.27734375,4,-60,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.279296875,4,-45,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.28125,4,-26,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.283203125,4,-49,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.28515625,4,-83,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.287109375,4,-101,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.2890625,4,-82,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.291015625,4,-20,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.29296875,4,21,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.294921875,4,33,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.296875,4,36,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.298828125,4,42,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.30078125,4,32,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.302734375,4,-14,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3046875,4,-53,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.306640625,4,-51,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.30859375,4,-36,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.310546875,4,-29,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3125,5,-29,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.314453125,5,-25,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.31640625,5,-2,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.318359375,5,21,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3203125,5,34,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.322265625,5,26,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.32421875,5,13,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.326171875,5,3,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.328125,5,-2,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.330078125,5,16,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.33203125,5,43,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.333984375,5,52,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3359375,5,19,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.337890625,5,-12,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.33984375,5,-17,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.341796875,5,-5,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.34375,5,-5,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.345703125,5,-13,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.34765625,5,8,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.349609375,5,43,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3515625,5,53,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.353515625,5,39,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.35546875,5,16,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.357421875,5,10,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.359375,5,40,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.361328125,5,84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.36328125,5,98,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.365234375,5,88,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3671875,5,76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.369140625,5,73,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.37109375,5,73,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.373046875,5,84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.375,6,86,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.376953125,6,66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.37890625,6,54,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.380859375,6,59,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3828125,6,56,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.384765625,6,36,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.38671875,6,36,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.388671875,6,60,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.390625,6,85,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.392578125,6,92,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.39453125,6,85,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.396484375,6,55,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.3984375,6,35,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.400390625,6,48,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.40234375,6,67,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.404296875,6,72,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.40625,6,66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.408203125,6,66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.41015625,6,100,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.412109375,6,137,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4140625,6,124,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.416015625,6,83,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.41796875,6,51,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.419921875,6,52,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.421875,6,67,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.423828125,6,65,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.42578125,6,66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.427734375,6,99,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4296875,6,134,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.431640625,6,124,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.43359375,6,125,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.435546875,6,146,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4375,7,163,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.439453125,7,166,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.44140625,7,150,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.443359375,7,115,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4453125,7,88,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.447265625,7,74,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.44921875,7,72,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.451171875,7,80,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.453125,7,97,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.455078125,7,109,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.45703125,7,112,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.458984375,7,90,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4609375,7,82,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.462890625,7,104,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.46484375,7,120,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.466796875,7,101,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.46875,7,68,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.470703125,7,70,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.47265625,7,91,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.474609375,7,89,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4765625,7,76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.478515625,7,72,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.48046875,7,84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.482421875,7,108,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.484375,7,132,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.486328125,7,125,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.48828125,7,76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.490234375,7,16,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.4921875,7,-12,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.494140625,7,20,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.49609375,7,76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.498046875,7,102,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5,8,73,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.501953125,8,21,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.50390625,8,-4,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.505859375,8,19,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5078125,8,69,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.509765625,8,86,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.51171875,8,51,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.513671875,8,21,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.515625,8,34,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.517578125,8,68,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.51953125,8,96,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.521484375,8,102,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5234375,8,86,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.525390625,8,75,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.52734375,8,96,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.529296875,8,106,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.53125,8,102,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.533203125,8,93,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.53515625,8,75,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.537109375,8,43,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5390625,8,10,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.541015625,8,1,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.54296875,8,14,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.544921875,8,6,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.546875,8,1,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.548828125,8,36,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.55078125,8,80,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.552734375,8,89,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5546875,8,90,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.556640625,8,104,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.55859375,8,120,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.560546875,8,134,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5625,9,154,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.564453125,9,152,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.56640625,9,137,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.568359375,9,145,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5703125,9,152,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.572265625,9,164,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.57421875,9,183,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.576171875,9,213,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.578125,9,228,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.580078125,9,211,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.58203125,9,184,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.583984375,9,166,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.5859375,9,146,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.587890625,9,133,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.58984375,9,124,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.591796875,9,118,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.59375,9,108,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.595703125,9,104,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.59765625,9,105,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.599609375,9,106,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6015625,9,113,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.603515625,9,114,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.60546875,9,97,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.607421875,9,64,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.609375,9,28,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.611328125,9,26,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.61328125,9,58,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.615234375,9,82,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6171875,9,84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.619140625,9,72,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.62109375,9,66,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.623046875,9,82,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.625,10,100,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.626953125,10,100,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.62890625,10,82,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.630859375,10,67,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6328125,10,42,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.634765625,10,50,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.63671875,10,70,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.638671875,10,81,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.640625,10,71,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.642578125,10,73,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.64453125,10,74,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.646484375,10,69,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6484375,10,60,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.650390625,10,64,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.65234375,10,84,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.654296875,10,102,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.65625,10,96,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.658203125,10,73,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.66015625,10,56,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.662109375,10,50,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6640625,10,54,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.666015625,10,73,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.66796875,10,90,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.669921875,10,96,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.671875,10,104,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.673828125,10,107,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.67578125,10,98,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.677734375,10,74,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6796875,10,48,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.681640625,10,35,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.68359375,10,39,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.685546875,10,55,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6875,11,71,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.689453125,11,72,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.69140625,11,74,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.693359375,11,76,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
0.6953125,11,58,43,37,1222787,287260,5344,25322,17791,26834,27735,15498
